addr_postc,addr_subur,air_condit,amenity,biergarten,brand,capacity,contact_ph,contact_we,cuisine,delivery,descriptio,diet_vegan,diet_veget,indoor_sea,indoor_s_1,internet_a,internet_1,name,opening_ho,outdoor_se,smoking,takeaway,wheelchair,Lat,Lon,Brick
10625,Charlottenburg,,restaurant,,,,,,vietnamese,,,,,,,,,Nam Thuân,,,,,no,52.507320000000000,13.320779999999999,Charlottenburg-Wilmersdorf
14057,Charlottenburg,,restaurant,,,,+49 30 30207745,https://paella.eatbu.com,mexican,,,yes,yes,true,,,,Paella,Mo-Su 11:00-23:00+,yes,outside,,limited,52.506889000000001,13.283920000000000,Charlottenburg-Wilmersdorf
14057,Westend,,restaurant,,,,,,mexican,,,,,,,,,Cancún,Mo-Su 11:00-03:00,,,,limited,52.510322000000002,13.282954000000000,Charlottenburg-Wilmersdorf
10709,Halensee,,restaurant,,,,,,greek,,,,,true,,wlan,,Ach!NikO!Ach!,Mo-Su 12:00-24:00,yes,,,no,52.498587000000001,13.298249000000000,Charlottenburg-Wilmersdorf
10317,Rummelsburg,,restaurant,,,,,https://dongda-restaurant.de/,vietnamese,,,yes,yes,true,,,,Đống Đa,Tu-Su 11:30-21:30,yes,,,no,52.504461999999997,13.476584000000001,Lichtenberg
13403,Reinickendorf,,restaurant,,,,,,balkan,,,,,,,,,Dalmacija,Tu-Su 12:00-22:00,,,,yes,52.572519000000000,13.308270000000000,Reinickendorf
10715,Wilmersdorf,,restaurant,,,,,,greek,,,,,true,,,,Taverna Athos,Mo-Su 12:00-23:00,yes,,,,52.480029999999999,13.327716000000001,Charlottenburg-Wilmersdorf
10119,Mitte,,restaurant,,,,"+493099296924",http://www.monsieurvuong.de/,vietnamese,,,yes,yes,true,,wlan,customers,Monsieur Vuong,"Mo-Th, Su 12:00-22:00; Fr, Sa 12:00-22:30",yes,outside,yes,no,52.526625000000003,13.407897999999999,Mitte
10999,,,restaurant,,,,,,vietnamese,,,yes,only,true,,,,Mon Restaurant,"Mo-Th 11:00-22:00; Fr 11:00-24:00; Sa,Su 12:00-16:00,17:00-24:00",yes,,,no,52.502986000000000,13.415089000000000,Friedrichshain-Kreuzberg
10999,Kreuzberg,,restaurant,,,,,,vietnamese,,,,yes,,,,,green rice,"Mo-Fr 12:00-18:00+, Sa,Su 13:00-18:00+",,,,no,52.501002999999997,13.419266000000000,Friedrichshain-Kreuzberg
