"id","addr:street","addr:housenumber","addr:postcode","addr:suburb","air_conditioning","amenity","biergarten","brand","capacity","contact:phone","contact:website","cuisine","delivery","description","diet:vegan","diet:vegetarian","indoor_seating","indoor_seating:capacity","internet_access","internet_access:fee","name","opening_hours","outdoor_seating","smoking","takeaway","wheelchair","Lat","Lon"
node/26735749,Knesebeckstraße,"","10623",Charlottenburg,"",restaurant,"","","","","",italian,"","","","","","","","",Aida,Mo-Sa 11:30-21:00; Su 15:00-21:00,sidewalk,"","",no,"52.506864","13.322859"
node/26735759,Kantstraße,"30","10623",Charlottenburg,"",restaurant,"","","","",https://madame-ngo.de/,asian,"","","","","","","","",Madame Ngo,"Mo-Sa 12:00-16:30, 18:00-22:00; Su 12:00-16:30, 18:00-21:30",yes,"","",limited,"52.506212","13.318081"
node/26735763,Pestalozzistraße,"106","10625",Charlottenburg,"",restaurant,"","","","","",vietnamese,"","","","","","","","",Nam Thuân,"","","","",no,"52.50732","13.32078"
node/29997724,Neue Kantstraße,"19","14057",Charlottenburg,"",restaurant,"","","","","",italian,"","","","","","","","",La Rose,"","","","","","52.506318","13.284626"
node/30020303,Zossener Straße,"19","10961",Kreuzberg,"",restaurant,"","","",+49 30 6948948,"",indian,"","",yes,"",yes,"","","",Tibet Haus,"12:00-24:00",yes,"","",no,"52.49071","13.393981"
node/35966292,Wundtstraße,"72","14057",Charlottenburg,"",restaurant,"","","",+49 30 30207745,https://paella.eatbu.com,mexican,"","",yes,yes,yes,"","","",Paella,Mo-Su 11:00-23:00+,yes,outside,"",limited,"52.506889","13.28392"
node/35973391,Kaiserdamm,"24","14057",Westend,"",restaurant,"","","","","",mexican,"","","","","","","","",Cancún,Mo-Su 11:00-03:00,"","","",limited,"52.510322","13.282954"
node/36310174,"","","13351","","",restaurant,"","","",+49 30 4513071,"",german,"","","",yes,yes,"","","",Schatulle,"Tu-Fr 12:00-22:00, Sa,Su 10:00-22:00, PH 10:00-22:00",yes,outside,"",limited,"52.554271","13.331128"
node/63253646,Kurfürstendamm,"100","10709",Halensee,"",restaurant,"","","","","",german,"","","","",yes,"","","",Haus der 100 Biere,Mo-Su 11:00-00:00,yes,"","",yes,"52.498383","13.296998"
node/63253652,Kurfürstendamm,"97-98","10709",Halensee,"",restaurant,"","","","","",greek,"","","","",yes,"",wlan,"",Ach!NikO!Ach!,Mo-Su 12:00-24:00,yes,"","",no,"52.498587","13.298249"
node/63253660,Damaschkestraße,"31","10711",Halensee,"",restaurant,"","","",+49 30 31809777,https://www.ristorantesalveberlin.de/,italian,"","",no,yes,"","","","",Ristorante Salve,Tu-Su 16:00-22:00; Mo off,"","","",limited,"52.500979","13.297644"
node/78438027,Quäkerstraße,"2","13403",Reinickendorf,"",restaurant,"","","","","",balkan,"","","","","","","","",Dalmacija,Tu-Su 12:00-22:00,"","","",yes,"52.572519","13.30827"
node/78467656,Wittestraße,"49","13509",Reinickendorf,"",restaurant,"","","","","",german,"","","","","","","","",Schlemmerküche,Mo-Fr 11:30-13:30,"","","",limited,"52.577115","13.307315"
node/79454844,Bundesplatz,"2","10715",Wilmersdorf,"",restaurant,"","","","","",greek,"","","","",yes,"","","",Taverna Athos,Mo-Su 12:00-23:00,yes,"","","","52.48003","13.327716"
node/79769672,Zobeltitzstraße,"90","13403",Reinickendorf,"",restaurant,"","","","","",italian,"","","","","","","","",Pizzaria Tamara,"","","","",no,"52.57013","13.309819"
node/81362518,Theodor-Heuss-Platz,"10","14052",Westend,"",restaurant,"","","","","",german,"","","","",yes,"","","",JOE'S Restaurant & Wirtshaus,"10:00-24:00",yes,"","",limited,"52.509874","13.270883"
node/81362605,Lindenallee,"28","14050",Westend,"",restaurant,"","","","","",german,"","","","",yes,"","","",Lindenwirtin,"Mo-Su,PH 15:00+",yes,"","",yes,"52.510621","13.271661"
node/86001794,Friedrichstraße,"167;168","10117",Mitte,"",restaurant,"","","",+49 30 20672828,http://www.boccadibacco.de/,italian,"","","","","","","","",Bocca di Bacco,Mo-Sa 12:00-24:00,yes,"","",no,"52.515112","13.388908"
node/86001825,Charlottenstraße,"56","10117",Mitte,"",restaurant,"","","","","",german,"","","","",yes,"","","",Lutter & Wegner,"Mo-Su,PH 12:00-24:00",yes,"","",no,"52.513212","13.391178"
