id,addr_stree,addr_house,addr_postc,addr_subur,air_condit,amenity,biergarten,brand,capacity,contact_ph,contact_we,cuisine,delivery,descriptio,diet_vegan,diet_veget,indoor_sea,indoor_s_1,internet_a,internet_1,name,opening_ho,outdoor_se,smoking,takeaway,wheelchair,Lat,Lon,Brick,_Distance
node/26735749,Knesebeckstraße,,10623,Charlottenburg,,restaurant,,,,,,italian,,,,,,,,,Aida,"Mo-Sa 11:30-21:00; Su 15:00-21:00",sidewalk,,,no,52.506864000000000,13.322858999999999,Charlottenburg-Wilmersdorf,132.183980929234281
node/26735759,Kantstraße,"30",10623,Charlottenburg,,restaurant,,,,,https://madame-ngo.de/,asian,,,,,,,,,Madame Ngo,"Mo-Sa 12:00-16:30, 18:00-22:00; Su 12:00-16:30, 18:00-21:30",yes,,,limited,52.506211999999998,13.318080999999999,Charlottenburg-Wilmersdorf,8.545016036275999
node/26735763,Pestalozzistraße,"106",10625,Charlottenburg,,restaurant,,,,,,vietnamese,,,,,,,,,Nam Thuân,,,,,no,52.507320000000000,13.320779999999999,Charlottenburg-Wilmersdorf,152.120124722755776
node/29997724,Neue Kantstraße,"19",14057,Charlottenburg,,restaurant,,,,,,italian,,,,,,,,,La Rose,,,,,,52.506318000000000,13.284625999999999,Charlottenburg-Wilmersdorf,70.198142471681507
node/30020303,Zossener Straße,"19",10961,Kreuzberg,,restaurant,,,,+49 30 6948948,,indian,,,yes,,true,,,,Tibet Haus,12:00-24:00,yes,,,no,52.490710000000000,13.393981000000000,Friedrichshain-Kreuzberg,54.207565615285013
node/35966292,Wundtstraße,"72",14057,Charlottenburg,,restaurant,,,,+49 30 30207745,https://paella.eatbu.com,mexican,,,yes,yes,true,,,,Paella,Mo-Su 11:00-23:00+,yes,outside,,limited,52.506889000000001,13.283920000000000,Charlottenburg-Wilmersdorf,28.218478236294064
node/35973391,Kaiserdamm,"24",14057,Westend,,restaurant,,,,,,mexican,,,,,,,,,Cancún,Mo-Su 11:00-03:00,,,,limited,52.510322000000002,13.282954000000000,Charlottenburg-Wilmersdorf,28.130361720104172
node/36310174,,,13351,,,restaurant,,,,+49 30 4513071,,german,,,,yes,true,,,,Schatulle,"Tu-Fr 12:00-22:00, Sa,Su 10:00-22:00, PH 10:00-22:00",yes,outside,,limited,52.554271000000000,13.331128000000000,Mitte,339.318783204044280
node/63253646,Kurfürstendamm,"100",10709,Halensee,,restaurant,,,,,,german,,,,,true,,,,Haus der 100 Biere,Mo-Su 11:00-00:00,yes,,,yes,52.498382999999997,13.296998000000000,Charlottenburg-Wilmersdorf,17.141023875621059
node/63253652,Kurfürstendamm,97-98,10709,Halensee,,restaurant,,,,,,greek,,,,,true,,wlan,,Ach!NikO!Ach!,Mo-Su 12:00-24:00,yes,,,no,52.498587000000001,13.298249000000000,Charlottenburg-Wilmersdorf,79.789877166017220
